Codepoint,Hex,Form,Category,Construction Recipe,Notes
U+E03E,E03E,ṣ,consonant-sibilant,"foot-curl + friction hatch",""
U+E03F,E03F,s,consonant-sibilant,"dental base + friction hatch",""
U+E040,E040,h,consonant-aspirant,"prominent diagonal with upper-right flare","aspiration tick grown up"
U+E050,E050,virāma,sign,"small basal right-stroke (P3)","suppresses inherent /a/"
U+E051,E051,ṁ,sign,"nasal loop, standalone (P5)","anusvāra"
U+E052,E052,ḥ,sign,"two small dots, vertically paired","visarga"
U+E053,E053,ʼ,sign,"tall vertical + small notch","avagraha (elision/glottal echo)"
U+E054,E054,m̐,sign,"nasal loop + subscript dot","candrabindu (vowel nasalisation)"
U+E060,E060,/,tone-mark,"short upward arc above the akṣara","rising (question/seeking)"
U+E061,E061,\,tone-mark,"short downward arc above the akṣara","falling (finality/closure)"
U+E062,E062,:,tone-mark,"low curve trailing the akṣara","chant extension (sustain)"
U+E063,E063,=,tone-mark,"short horizontal bar above","high level (design spec)"
U+E064,E064,`,tone-mark,"short horizontal bar below","low level; backtick alias (r2 errata)"
U+E065,E065,^,marker,"raised prefix mark","saṁjñā / technical-sense (glyph form pending)"
U+E06F,E06F,{C},closure,"downward triangle (3 cuts) + chant-extension curve","saṁpūrṇa-mudrā; Grantha-unit boundary"
U+E070,E070,0,digit,"composed from P1–P6","simplified carvable digit; per-digit form pending"
U+E071,E071,1,digit,"composed from P1–P6","per-digit form pending"
U+E072,E072,2,digit,"composed from P1–P6","per-digit form pending"
U+E073,E073,3,digit,"composed from P1–P6","per-digit form pending"
U+E074,E074,4,digit,"composed from P1–P6","per-digit form pending"
U+E075,E075,5,digit,"composed from P1–P6","per-digit form pending"
U+E076,E076,6,digit,"composed from P1–P6","per-digit form pending"
U+E077,E077,7,digit,"composed from P1–P6","per-digit form pending"
U+E078,E078,8,digit,"composed from P1–P6","per-digit form pending"
U+E079,E079,9,digit,"composed from P1–P6","per-digit form pending"
U+E085,E085,ḷ,consonant-extension,"stem + basal branch + curl","retroflex lateral (SD-1 extension tier)"
U+E087,E087,ḻ,consonant-extension,"open sweeping arc (P4) + foot-curl (P6)","retroflex approximant (Tier-1)"
U+E088,E088,ṟ,consonant-extension,"r-glyph + alveolar tick (P3, base-right)","alveolar trill/tap (Tier-1)"
U+E089,E089,ṉ,consonant-extension,"dental base + alveolar tick + nasal loop","alveolar nasal (Tier-1)"
U+E08A,E08A,ṯ,consonant-extension,"dental base + alveolar tick","alveolar stop voiceless (Tier-1)"
U+E08B,E08B,ḏ,consonant-extension,"dental base + alveolar tick + voicing bar","alveolar stop voiced (Tier-1)"
U+E08C,E08C,ĕ/ŏ,combining-mark,"small notch tick (P3)","shortness tick (e→ĕ, o→ŏ), combining"
U+E08D,E08D,ï,combining-mark,"small dot inside the i-mātrā","central high vowel mark, combining"
U+E08E,E08E,ʼ,consonant-extension,"avagraha form scaled to body height + baseline foot","glottal stop (full consonant, Tier-1)"
U+E08F,E08F,◌̰,phonation-mark,"small under-tilde","creaky voice (combining)"
U+E090,E090,◌̤,phonation-mark,"two small subscript dots","breathy voice (combining)"
